# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:47:22.241
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009528,-0.0198,0.0618,-0.2257,0.23
0.026447,-0.0266,0.0800,0.3909,0.40
0.034658,-0.0158,0.0862,0.8494,0.85
0.044629,-0.0069,0.0547,0.9543,0.96
0.053176,-0.0182,0.0104,0.8244,0.82
0.061342,-0.0253,-0.0576,0.5680,0.57
0.071141,-0.0278,-0.1021,0.3054,0.32
0.084895,-0.0111,-0.1413,0.0473,0.15
0.091625,-0.0172,-0.1521,-0.1870,0.24
0.104376,-0.0082,-0.1409,-0.3832,0.41
0.109946,0.0197,-0.1124,-0.5043,0.52
0.123441,0.0334,-0.0627,-0.5044,0.51
0.129696,0.0285,-0.0226,-0.3955,0.40
0.141571,-0.0040,0.0331,-0.1985,0.20
0.150955,-0.0445,0.0633,0.0186,0.08
0.159435,-0.1064,0.0618,0.1986,0.23
0.169262,-0.0789,0.0982,0.3325,0.36
0.184061,-0.0344,0.1380,0.3080,0.34
0.189095,0.0095,0.1635,0.2031,0.26
0.202011,0.0428,0.1570,0.1324,0.21
0.211289,0.0559,0.1123,0.0675,0.14
0.222202,0.0498,0.0465,-0.0525,0.09
0.231209,0.0394,-0.0148,-0.1605,0.17
0.242228,0.0203,-0.0619,-0.2238,0.23
0.251522,-0.0125,-0.0900,-0.2148,0.23
0.260593,-0.0497,-0.0871,-0.1443,0.18
0.269668,-0.0813,-0.0785,-0.0372,0.12
0.285720,-0.0933,-0.0850,0.0586,0.14
0.291522,-0.0815,-0.0796,0.1336,0.18
0.304899,-0.0748,-0.0916,0.1644,0.20
0.310405,-0.0494,-0.1063,0.1566,0.20
0.323214,-0.0245,-0.1138,0.1297,0.17
0.332585,-0.0099,-0.1131,0.0512,0.12
0.341101,0.0044,-0.1127,-0.0448,0.12
0.349564,0.0373,-0.1067,-0.1343,0.18
0.367015,0.0363,-0.1184,-0.1798,0.22
0.372683,0.0256,-0.1515,-0.2007,0.25
0.382064,0.0143,-0.1829,-0.1598,0.24
0.391447,-0.0103,-0.2141,-0.0867,0.23
0.400088,-0.0057,-0.2366,0.0368,0.24
0.409025,-0.0290,-0.2662,0.1765,0.32
0.418851,-0.0471,-0.2804,0.2851,0.40
0.429787,-0.0461,-0.2750,0.3206,0.42
0.439414,-0.0266,-0.2504,0.2983,0.39
0.449919,0.0113,-0.1875,0.2147,0.29
0.459679,0.0440,-0.0999,0.1273,0.17
0.472304,0.0574,0.0085,0.0555,0.08
0.479581,0.0709,0.1393,0.0226,0.16
0.488985,0.0611,0.2884,0.0001,0.29
0.502509,0.0616,0.4187,-0.0453,0.43
0.511519,0.0633,0.5075,-0.1082,0.52
0.520688,0.0611,0.5408,-0.1368,0.56
0.530257,0.0739,0.4955,-0.1034,0.51
0.546777,0.0913,0.3907,-0.0610,0.41
0.556180,0.0982,0.2593,0.0043,0.28
0.565239,0.0989,0.1153,0.0261,0.15
0.578235,0.0697,-0.0086,0.0427,0.08
0.587455,0.0246,-0.0804,0.0636,0.11
0.590264,-0.0112,-0.1149,0.0511,0.13
0.603189,-0.0323,-0.1222,0.0480,0.14
0.611287,-0.0577,-0.0976,0.0683,0.13
0.619840,-0.0684,-0.0596,0.0366,0.10
0.629192,-0.0694,-0.0267,-0.0416,0.09
0.643887,-0.0759,0.0110,-0.1231,0.15
0.653767,-0.0679,0.0258,-0.1796,0.19
0.663495,-0.0547,0.0612,-0.2112,0.23
0.673398,-0.0406,0.0699,-0.1998,0.22
0.682464,-0.0296,0.0856,-0.1930,0.21
0.692072,-0.0263,0.0838,-0.1909,0.21
0.701267,-0.0459,0.0741,-0.0898,0.13
0.718112,-0.0628,0.0555,0.0944,0.13
