# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:40:05.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016390,0.4522,-0.1341,-0.6406,0.80
0.025037,0.2851,-0.0917,0.0389,0.30
0.038168,0.0779,-0.0672,0.3303,0.35
0.041632,-0.0067,-0.0799,0.3390,0.35
0.051944,0.0609,-0.1206,0.2723,0.30
0.063975,0.0670,-0.2268,0.1218,0.27
0.075699,-0.1149,-0.1896,0.0160,0.22
0.082380,-0.1220,-0.1766,0.0249,0.22
0.093750,-0.1058,-0.0885,0.0902,0.16
0.106103,-0.0722,0.0026,0.1451,0.16
0.117840,-0.0306,0.0872,0.0908,0.13
0.126735,0.0106,0.1516,-0.0661,0.17
0.133859,0.0279,0.1632,-0.1546,0.23
0.143551,0.0194,0.0707,-0.0860,0.11
0.156602,-0.1032,0.1062,-0.0749,0.17
0.164278,-0.0828,0.0658,-0.0640,0.12
0.175818,-0.0344,0.0349,-0.0390,0.06
0.182349,-0.0238,0.0561,-0.0661,0.09
0.193453,-0.0129,0.0538,-0.1070,0.12
0.207555,-0.0155,0.0616,-0.1192,0.14
0.215418,-0.0275,0.0610,-0.1127,0.13
0.222636,-0.0210,0.0422,-0.0829,0.10
0.232458,0.0037,0.0149,-0.0302,0.03
0.243318,0.0266,-0.0070,0.0075,0.03
0.256160,0.0525,-0.0426,0.0351,0.08
0.268469,0.0627,-0.0685,0.0577,0.11
0.275499,0.0772,-0.0893,0.0423,0.13
0.284204,0.0966,-0.0818,0.0413,0.13
0.292765,0.1165,-0.0652,0.0498,0.14
0.307903,0.1469,-0.0542,0.0630,0.17
0.317090,0.1783,-0.0394,0.0714,0.20
0.324080,0.1773,-0.0344,0.0796,0.20
0.332593,0.1489,-0.0251,0.0831,0.17
0.343887,0.1069,-0.0067,0.0631,0.12
0.355926,0.0422,-0.0029,0.0528,0.07
0.364515,-0.0262,0.0052,0.0193,0.03
0.372358,-0.0882,0.0224,-0.0090,0.09
0.382752,-0.1299,0.0255,-0.0180,0.13
0.392835,-0.1516,0.0334,-0.0317,0.16
0.406197,-0.1874,0.0227,-0.0310,0.19
0.414935,-0.1852,0.0078,-0.0258,0.19
0.422518,-0.1792,-0.0113,-0.0254,0.18
0.434949,-0.1552,-0.0299,-0.0344,0.16
0.449047,-0.1137,-0.0337,-0.0340,0.12
0.459415,-0.0643,-0.0373,-0.0524,0.09
0.472096,-0.0164,-0.0221,-0.0469,0.05
0.472508,0.0495,-0.0215,-0.0415,0.07
0.482964,0.1149,0.0025,-0.0032,0.11
0.494314,0.1702,0.0022,0.0299,0.17
0.507813,0.2063,0.0209,0.0435,0.21
0.517165,0.1954,0.0395,0.0568,0.21
0.524609,0.1427,0.0627,0.0417,0.16
0.535199,0.0723,0.0853,0.0220,0.11
0.548430,-0.0157,0.1026,0.0028,0.10
0.557322,-0.0975,0.0956,-0.0301,0.14
0.565781,-0.1687,0.0883,-0.0576,0.20
0.573428,-0.2203,0.0762,-0.0752,0.24
0.585317,-0.2389,0.0738,-0.0831,0.26
0.598243,-0.2353,0.0297,-0.0721,0.25
0.605838,-0.1770,-0.0410,-0.0522,0.19
0.613738,-0.0981,-0.1100,-0.0421,0.15
0.623848,-0.0026,-0.1439,-0.0324,0.15
0.636876,0.0677,-0.1393,-0.0229,0.16
0.648402,0.1141,-0.0877,-0.0137,0.14
0.660538,0.1325,-0.0137,0.0050,0.13
0.670242,0.1524,0.0534,0.0235,0.16
0.684087,0.1695,0.0810,0.0418,0.19
0.684191,0.1834,0.0743,0.0554,0.21
0.696054,0.1980,0.0479,0.0972,0.23
0.705576,0.2030,-0.0019,0.1196,0.24
0.713895,0.1642,-0.0600,0.1415,0.22
0.723355,0.1239,-0.0935,0.1490,0.22
0.734475,0.0588,-0.1120,0.1045,0.16
0.748820,-0.0058,-0.1251,0.0371,0.13
0.760437,-0.0966,-0.0903,-0.0387,0.14
0.768687,-0.1756,-0.0368,-0.0852,0.20
0.775787,-0.2519,0.0207,-0.1169,0.28
0.786450,-0.2933,0.0629,-0.1150,0.32
0.797172,-0.3058,0.0810,-0.0850,0.33
0.806552,-0.2856,0.0892,-0.0459,0.30
0.813860,-0.2285,0.0595,-0.0264,0.24
0.826296,-0.1260,0.0211,-0.0024,0.13
0.839433,-0.0257,-0.0256,-0.0026,0.04
0.847860,0.0728,-0.0476,-0.0169,0.09
0.855495,0.1323,-0.0689,-0.0123,0.15
0.863664,0.1720,-0.0852,0.0063,0.19
0.873979,0.1927,-0.0683,0.0530,0.21
0.886452,0.1853,-0.0521,0.0989,0.22
0.896874,0.1783,-0.0273,0.1254,0.22
0.905492,0.1626,0.0057,0.1281,0.21
0.913714,0.1432,0.0189,0.1167,0.19
0.923989,0.1197,0.0218,0.0869,0.15
0.934862,0.0826,0.0245,0.0387,0.09
0.947319,0.0368,0.0271,-0.0039,0.05
0.955243,-0.0127,0.0157,-0.0552,0.06
0.964361,-0.0758,0.0000,-0.0823,0.11
0.976048,-0.1244,0.0038,-0.1090,0.17
0.988581,-0.1587,0.0080,-0.1023,0.19
0.997543,-0.1790,0.0126,-0.0959,0.20
1.006007,-0.1619,0.0313,-0.0802,0.18
1.019153,-0.1360,0.0454,-0.0649,0.16
1.026484,-0.0919,0.0594,-0.0546,0.12
1.035267,-0.0438,0.0592,-0.0445,0.09
1.048077,0.0034,0.0405,-0.0299,0.05
1.055435,0.0450,0.0268,-0.0061,0.05
1.064337,0.0717,0.0085,0.0173,0.07
1.074896,0.0745,-0.0190,0.0403,0.09
1.089870,0.0678,-0.0274,0.0536,0.09
1.097090,0.0660,-0.0408,0.0762,0.11
1.104536,0.0405,-0.0354,0.0749,0.09
1.114368,0.0298,-0.0350,0.0596,0.08
1.124731,0.0195,-0.0256,0.0494,0.06
1.138449,0.0094,-0.0070,0.0487,0.05
1.148080,0.0091,-0.0025,0.0150,0.02
1.155451,0.0089,0.0161,0.0102,0.02
1.164733,0.0134,0.0298,-0.0088,0.03
1.174954,0.0223,0.0244,-0.0227,0.04
1.187150,0.0213,0.0004,-0.0412,0.05
1.197207,0.0113,-0.0182,-0.0499,0.05
1.204701,0.0012,-0.0320,-0.0491,0.06
1.215358,-0.0134,-0.0264,-0.0484,0.06
1.227474,-0.0324,-0.0258,-0.0382,0.06
1.237982,-0.0602,-0.0063,-0.0188,0.06
1.246628,-0.0643,0.0130,0.0003,0.07
1.254841,-0.0542,0.0320,0.0143,0.06
1.265096,-0.0491,0.0320,0.0375,0.07
1.276301,-0.0111,0.0367,0.0555,0.07
1.290499,0.0126,0.0176,0.0545,0.06
1.294797,0.0168,-0.0059,0.0488,0.05
1.306786,0.0162,-0.0435,0.0433,0.06
1.314547,0.0108,-0.0615,0.0284,0.07
1.325142,0.0008,-0.0746,0.0186,0.08
1.339307,-0.0043,-0.0546,0.0089,0.06
1.346752,0.0002,-0.0303,-0.0006,0.03
1.356001,0.0241,0.0077,-0.0147,0.03
1.364723,0.0387,0.0544,-0.0144,0.07
1.377065,0.0530,0.0627,0.0047,0.08
1.388701,0.0718,0.0660,0.0094,0.10
1.396736,0.0809,0.0459,-0.0001,0.09
1.415883,0.0613,0.0216,-0.0096,0.07
1.416022,0.0372,0.0024,-0.0141,0.04
1.430704,-0.0010,-0.0256,-0.0093,0.03
1.437274,-0.0341,-0.0390,-0.0139,0.05
1.445650,-0.0618,-0.0384,-0.0278,0.08
1.455672,-0.0747,-0.0332,-0.0132,0.08
1.467494,-0.0779,-0.0187,-0.0129,0.08
1.479290,-0.0618,0.0049,-0.0079,0.06
1.488351,-0.0463,0.0189,-0.0031,0.05
1.496217,-0.0169,0.0280,0.0017,0.03
1.508599,0.0028,0.0276,0.0111,0.03
1.521952,0.0124,0.0176,0.0109,0.02
1.529711,0.0309,0.0080,0.0154,0.04
1.537462,0.0304,-0.0107,0.0151,0.04
1.546140,0.0205,-0.0198,0.0006,0.03
1.555780,0.0156,-0.0286,-0.0042,0.03
1.568303,0.0059,-0.0233,-0.0041,0.02
1.579008,-0.0036,-0.0275,-0.0041,0.03
1.587628,-0.0035,-0.0129,0.0007,0.01
1.595802,-0.0035,0.0062,-0.0040,0.01
1.605499,-0.0033,0.0157,-0.0087,0.02
1.619008,0.0113,0.0389,-0.0086,0.04
1.630471,0.0165,0.0479,-0.0132,0.05
1.644215,0.0262,0.0473,-0.0083,0.05
1.645385,0.0169,0.0373,0.0106,0.04
1.655561,-0.0021,0.0085,0.0151,0.02
1.669103,-0.0115,-0.0200,0.0148,0.03
1.679148,-0.0210,-0.0338,-0.0089,0.04
1.688092,-0.0253,-0.0474,-0.0229,0.06
1.696904,-0.0201,-0.0416,-0.0226,0.05
1.705569,-0.0200,-0.0219,-0.0081,0.03
1.716884,-0.0059,0.0069,0.0061,0.01
1.730116,0.0035,0.0258,0.0154,0.03
1.737459,0.0084,0.0350,0.0150,0.04
