# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:35:16.835
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005318,-1.3615,0.3171,-0.2171,1.41
0.023232,-1.8083,0.4149,-0.6163,1.95
0.036673,-2.1429,0.3062,-0.6596,2.26
0.048528,-2.3330,0.1326,-0.7464,2.45
0.058549,-2.5272,0.0969,-1.3431,2.86
0.066744,-2.8992,0.2447,-2.1737,3.63
0.080954,-3.5887,0.6947,-2.8487,4.63
0.089102,-3.4732,0.3768,-2.9787,4.59
0.097947,-3.1631,0.0797,-3.4891,4.71
0.105635,-2.6293,-0.2096,-4.0298,4.82
0.114268,-1.9029,-0.6378,-4.6515,5.07
0.124215,-0.9379,-1.2799,-5.1561,5.39
0.146226,-0.0481,-2.0093,-5.6484,6.00
0.159605,1.6122,-3.1611,-7.0950,7.93
0.168069,1.2581,-3.2443,-7.5524,8.32
0.176510,0.0055,-3.2966,-7.7203,8.39
0.198773,-1.5863,-4.6932,-6.3594,8.06
0.206933,-0.1772,-4.7586,-5.5775,7.33
0.214261,2.3042,-4.5694,-3.7955,6.37
0.223709,3.7008,-5.1856,-1.7846,6.62
0.240201,4.4506,-6.0998,-0.8108,7.59
0.249267,4.2067,-6.9866,-0.1263,8.16
0.257195,3.3187,-7.2960,-0.0798,8.02
0.264410,2.6629,-6.9454,0.3387,7.45
0.273807,1.6232,-6.3735,1.3887,6.72
0.287692,0.2017,-5.8100,2.6705,6.40
0.301702,-0.8791,-5.2806,3.6809,6.50
0.312179,-1.6965,-5.1579,4.4739,7.04
0.323673,-2.4091,-5.1648,5.0334,7.60
0.324234,-3.1383,-4.7128,5.0544,7.59
0.338692,-4.2887,-3.9608,4.7619,7.53
0.346975,-6.2637,-2.9114,4.5898,8.29
0.354000,-8.5179,-1.4852,4.9359,9.96
0.366375,-9.8645,-0.4148,4.7428,10.95
0.375193,-10.3333,0.3072,3.5457,10.93
0.388057,-10.7161,1.1364,2.0675,10.97
0.397726,-10.8622,1.8522,0.6117,11.04
0.405342,-10.9176,2.7405,-0.8112,11.29
0.414306,-10.8842,3.2191,-1.0149,11.40
0.428034,-10.2815,3.0976,-2.4367,11.01
0.438233,-9.0496,3.0253,-2.7833,9.94
0.446603,-7.7647,3.1340,-2.7988,8.83
0.455679,-6.4450,3.1162,-3.1262,7.81
0.465242,-5.2230,2.7842,-3.5692,6.91
0.477765,-3.9832,2.1596,-3.9738,6.03
0.487932,-2.8618,1.4537,-4.1018,5.21
0.498896,-2.4039,0.8933,-3.7280,4.52
0.507534,-2.1457,0.3528,-2.8615,3.59
0.518503,-2.4280,0.0149,-3.0068,3.86
0.528033,-2.8530,-0.2550,-2.3741,3.72
0.536748,-3.3550,-0.6974,-2.0063,3.97
0.548855,-5.7574,0.2458,-2.0285,6.11
0.554632,-8.8842,2.2946,-2.2882,9.46
0.564934,-10.3294,3.2868,-2.5199,11.13
0.582433,-9.8257,3.0302,-2.6510,10.62
0.584542,-8.4307,2.8046,-2.9779,9.37
0.595645,-7.6165,2.8104,-3.4378,8.82
0.606157,-6.9909,2.4322,-3.8221,8.33
0.617168,-6.4160,2.3015,-4.2406,8.03
0.630754,-6.2051,2.5207,-4.2347,7.92
0.639146,-5.3622,1.9527,-3.3678,6.63
0.647654,-3.7487,0.9782,-2.7405,4.75
0.657294,-2.3754,0.3326,-2.4026,3.39
0.665212,-1.2783,0.0058,-2.2249,2.57
0.677891,-0.8924,0.1779,-1.9719,2.17
0.688227,-1.6175,0.9964,-1.6112,2.49
0.697599,-2.2389,1.6249,-1.2087,3.02
0.706577,-2.2503,1.6333,-0.9155,2.93
0.716942,-1.3796,1.1150,-1.1527,2.12
0.725711,-0.4986,0.8805,-1.8820,2.14
0.740130,-0.0784,1.0520,-2.9377,3.12
0.744872,0.1482,1.1600,-3.5528,3.74
0.755246,0.3245,1.0921,-3.4323,3.62
0.765407,-0.3555,1.8565,-3.0204,3.56
0.775326,-0.7649,2.2209,-2.5101,3.44
0.785322,-0.4120,2.1012,-1.7857,2.79
0.799891,0.6592,1.4847,-1.0286,1.92
0.804811,1.9576,1.2305,0.8253,2.46
0.818823,3.1483,0.0450,2.5011,4.02
0.829755,3.7982,-0.5768,3.0500,4.91
0.840431,3.9098,-0.8285,3.1662,5.10
0.849561,3.0686,-0.8921,2.6644,4.16
0.857214,2.4450,-0.5669,1.3147,2.83
0.870152,2.8738,-0.5667,0.9228,3.07
0.881795,3.7793,-1.1855,0.4539,3.99
0.890888,4.5674,-1.7155,0.0731,4.88
0.900533,5.1682,-1.8884,0.3441,5.51
0.909237,5.5481,-2.1875,1.0652,6.06
0.916686,5.9593,-2.5831,2.1613,6.85
0.929301,6.2970,-3.0649,2.6030,7.47
0.938846,6.5845,-3.5367,2.1842,7.79
0.948206,6.9905,-4.0750,1.7733,8.28
0.956111,7.5149,-4.7456,1.2755,8.98
0.966547,7.8123,-5.6518,0.8010,9.68
0.980472,6.7972,-6.1774,0.5123,9.20
