# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:21:32.255
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.017673,-0.0076,0.0422,0.6056,0.61
0.030245,0.1558,-0.0336,0.4188,0.45
0.043373,0.2057,-0.0986,0.4310,0.49
0.058115,0.1725,-0.0958,0.5143,0.55
0.058449,0.1224,-0.0744,0.3995,0.42
0.067689,0.1124,-0.0419,0.2782,0.30
0.088418,-0.0001,0.0567,0.1283,0.14
0.098568,-0.0861,0.0761,-0.0709,0.14
0.107865,-0.1058,0.0497,-0.1873,0.22
0.117495,-0.1028,-0.0072,-0.2035,0.23
0.129300,-0.1135,-0.0094,-0.2250,0.25
0.138989,-0.1049,-0.0042,-0.2379,0.26
0.148174,-0.0393,-0.0113,-0.2138,0.22
0.158054,0.0267,-0.0162,-0.1864,0.19
0.171810,0.1074,-0.0199,-0.1178,0.16
0.178082,0.1976,-0.0564,-0.0601,0.21
0.193598,0.2256,-0.0696,0.1005,0.26
0.202947,0.2054,-0.0752,0.1983,0.30
0.211855,0.1375,-0.0975,0.2391,0.29
0.221213,0.0755,-0.1122,0.1860,0.23
0.230065,0.0993,-0.1282,0.1015,0.19
0.235564,0.1279,-0.1016,-0.0146,0.16
0.246990,0.1760,-0.0693,-0.1390,0.23
0.256458,0.2093,-0.0507,-0.1204,0.25
0.274222,0.2051,-0.0746,-0.0977,0.24
0.286097,0.1535,-0.0796,-0.0798,0.19
0.286475,0.0874,-0.0846,-0.0667,0.14
0.297136,-0.0027,-0.0890,-0.1150,0.15
0.307189,-0.0456,-0.0872,-0.1723,0.20
0.316790,-0.0134,-0.0516,-0.1395,0.15
0.327496,0.0739,-0.0395,-0.1215,0.15
0.337450,0.1551,-0.0368,-0.0851,0.18
0.347455,0.1881,-0.0441,0.0122,0.19
0.357116,0.1600,-0.0909,0.0238,0.19
0.366435,0.1141,-0.0820,-0.0442,0.15
0.376544,0.0690,-0.0834,-0.1249,0.17
0.385743,0.0418,-0.0564,-0.1616,0.18
0.402909,0.0312,-0.0200,-0.1929,0.20
0.411864,0.0503,0.0069,-0.2092,0.22
0.421618,0.0851,0.0292,-0.2298,0.25
0.427571,0.1029,0.0279,-0.2262,0.25
0.441482,0.0996,0.0366,-0.2926,0.31
0.451222,0.1937,-0.0426,-0.2111,0.29
0.460270,0.3020,-0.2030,0.0200,0.36
0.469473,0.2475,-0.0510,-0.2479,0.35
0.478531,0.1920,0.0725,-0.5456,0.58
0.488019,0.2250,0.0505,-0.6376,0.68
0.496996,0.1996,0.0041,-0.5173,0.55
0.505800,0.1045,0.0320,-0.3432,0.36
0.522401,0.0307,0.0283,-0.2709,0.27
0.525490,0.0328,-0.0090,-0.0950,0.10
0.543733,0.1551,-0.0386,0.0230,0.16
0.545401,0.2774,-0.0466,-0.1003,0.30
0.559426,0.3166,-0.0514,-0.2449,0.40
0.570784,0.3596,-0.0611,-0.3313,0.49
0.577328,0.4402,-0.0393,-0.5268,0.69
0.597276,0.4076,0.0339,-0.3823,0.56
0.597595,0.3250,0.0818,-0.0295,0.34
0.608080,0.2698,0.0311,0.2091,0.34
0.619937,0.3250,-0.0122,0.2839,0.43
0.629784,0.3056,-0.0781,0.2301,0.39
0.639135,0.1627,-0.0717,0.2857,0.34
0.648491,-0.0536,-0.0020,0.4639,0.47
0.658110,-0.2605,0.1035,0.4143,0.50
0.668055,-0.3637,0.1646,0.3285,0.52
0.678661,-0.3071,0.1353,0.3011,0.45
0.688588,-0.2292,0.1257,0.3071,0.40
