# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:25:59.833
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004809,-0.0262,-0.1091,-0.0860,0.14
0.013327,-0.0348,-0.1497,-0.1068,0.19
0.020976,-0.0387,-0.1566,-0.0933,0.19
0.029791,-0.0426,-0.1822,-0.0829,0.20
0.037283,-0.0279,-0.1980,-0.0756,0.21
0.047168,-0.0231,-0.1947,-0.0717,0.21
0.061232,-0.0327,-0.1726,-0.0444,0.18
0.066943,-0.0378,-0.1368,-0.0084,0.14
0.076882,-0.0429,-0.1015,-0.0024,0.11
0.089950,-0.0432,-0.0527,-0.0072,0.07
0.102804,-0.0530,-0.0282,-0.0128,0.06
0.110178,-0.0483,-0.0089,-0.0183,0.05
0.116582,-0.0341,-0.0134,-0.0142,0.04
0.126775,-0.0338,-0.0226,-0.0099,0.04
0.137707,-0.0285,-0.0222,-0.0193,0.04
0.152478,-0.0089,-0.0360,-0.0369,0.05
0.160091,0.0011,-0.0448,-0.0541,0.07
0.168182,0.0158,-0.0582,-0.0659,0.09
0.179845,0.0300,-0.0808,-0.0588,0.10
0.189657,0.0391,-0.0936,-0.0383,0.11
0.202108,0.0244,-0.0968,-0.0376,0.11
0.210970,0.0284,-0.0904,-0.0468,0.11
0.218571,0.0177,-0.0842,-0.0648,0.11
0.226947,-0.0024,-0.0733,-0.1191,0.14
0.238922,-0.0364,-0.0580,-0.1475,0.16
0.251665,-0.0466,-0.0570,-0.1460,0.16
0.259777,-0.0890,-0.0137,-0.1157,0.15
0.269052,-0.0684,0.0101,-0.1331,0.15
0.277634,-0.0803,0.0287,-0.0982,0.13
0.288925,-0.1150,-0.0049,-0.1112,0.16
0.302563,-0.1821,-0.0426,-0.1282,0.23
0.310245,-0.2154,-0.0655,-0.1819,0.29
0.319024,-0.2953,-0.0692,-0.1829,0.35
0.329532,-0.3319,-0.1011,-0.1795,0.39
0.338414,-0.3121,-0.1231,-0.1727,0.38
0.352890,-0.2651,-0.1351,-0.1119,0.32
0.361814,-0.2148,-0.1469,-0.0319,0.26
0.370371,-0.1324,-0.1491,0.0473,0.20
0.379215,-0.0557,-0.1229,0.1312,0.19
0.390641,0.0060,-0.0971,0.2153,0.24
0.402176,0.0905,-0.0671,0.2726,0.29
0.410765,0.1600,-0.0423,0.3047,0.35
0.419634,0.2428,-0.0180,0.3273,0.41
0.427845,0.2877,0.0340,0.3838,0.48
0.439368,0.2860,0.0663,0.4319,0.52
