# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:30:37.578
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.013725,-0.0676,-0.0022,0.1425,0.16
0.022263,-0.0592,-0.0344,0.0562,0.09
0.029513,-0.0424,-0.0668,-0.0768,0.11
0.036554,-0.0314,-0.1041,-0.1739,0.21
0.045873,-0.0261,-0.1364,-0.2176,0.26
0.057577,-0.0259,-0.1591,-0.2413,0.29
0.067595,-0.0073,-0.1954,-0.2174,0.29
0.076413,0.0059,-0.2119,-0.1940,0.29
0.089151,0.0234,-0.2371,-0.1779,0.30
0.098991,0.0594,-0.2095,-0.1680,0.28
0.108521,0.0996,-0.1584,-0.1365,0.23
0.116418,0.1158,-0.0843,-0.0811,0.16
0.127380,0.1182,-0.0207,-0.0524,0.13
0.139551,0.0972,0.0323,-0.0526,0.12
0.148666,0.0532,0.0418,-0.0462,0.08
0.156628,0.0047,0.0086,-0.0820,0.08
0.166390,-0.0480,-0.0196,-0.0703,0.09
0.176013,-0.0713,-0.0287,-0.1095,0.13
0.189977,-0.1081,-0.0332,-0.1313,0.17
0.198394,-0.1073,-0.1081,-0.1672,0.23
0.206188,-0.1308,-0.1862,-0.1397,0.27
0.216468,-0.1304,-0.1452,-0.1522,0.25
0.227529,-0.1012,-0.0952,-0.1470,0.20
0.239846,-0.0762,-0.0085,-0.1057,0.13
0.248281,-0.0551,0.0343,-0.1094,0.13
0.256448,-0.0662,0.0716,-0.1113,0.15
0.266316,-0.1000,0.0940,-0.0990,0.17
0.276841,-0.1472,0.1065,-0.1016,0.21
0.290336,-0.1565,0.1048,-0.1193,0.22
0.298934,-0.1753,0.0983,-0.1371,0.24
0.306763,-0.2033,0.0873,-0.1643,0.28
0.316344,-0.2215,0.0623,-0.1818,0.29
0.327763,-0.2253,0.0331,-0.1850,0.29
0.341575,-0.2247,-0.0192,-0.1459,0.27
0.350074,-0.2340,-0.0706,-0.0942,0.26
0.357756,-0.2018,-0.1115,-0.1191,0.26
0.366933,-0.1645,-0.0577,-0.1615,0.24
0.379152,-0.0662,-0.1274,-0.0212,0.15
0.392243,0.0068,-0.1725,0.0718,0.19
0.399911,0.0396,-0.2779,0.2532,0.38
0.408870,0.0525,-0.3064,0.3423,0.46
0.417243,0.1372,-0.2123,0.3574,0.44
0.432135,0.2550,-0.1578,0.3773,0.48
0.439116,0.3251,-0.0950,0.3941,0.52
0.448223,0.3340,-0.0238,0.4092,0.53
0.456557,0.3389,0.0132,0.3618,0.50
0.468725,0.3673,0.0734,0.3241,0.50
0.480591,0.4694,0.0577,0.1556,0.50
0.490542,0.5114,0.0993,0.1773,0.55
0.498055,0.3544,0.4426,0.1857,0.60
0.507078,-0.2813,0.7567,0.1012,0.81
0.518987,-0.8565,0.4753,0.0800,0.98
0.533019,0.0575,-0.3714,-0.3455,0.51
0.540410,0.0667,-0.6530,-0.2631,0.71
0.548486,0.2291,-0.7082,-0.2369,0.78
0.557843,0.7190,-0.8041,-0.1297,1.09
0.569908,0.8714,-0.7091,0.0370,1.12
0.582889,0.9140,-0.4079,0.1663,1.01
0.590379,0.9103,-0.1535,-0.0635,0.93
0.598265,0.8296,0.0641,-0.3191,0.89
0.608245,0.7731,0.1935,-0.5091,0.95
0.620839,0.5672,0.3159,-0.4148,0.77
0.632388,0.3413,0.3373,-0.2830,0.56
0.640993,0.2364,0.2877,-0.2517,0.45
0.649854,0.1468,0.2530,-0.2640,0.39
0.661412,0.1101,0.1436,-0.2355,0.30
0.674142,0.1109,-0.0536,-0.0285,0.13
0.683034,0.1295,-0.3463,0.1494,0.40
0.691011,0.0063,-0.6059,-0.0102,0.61
0.699211,-0.1519,-0.7012,-0.2864,0.77
0.709101,-0.3337,-0.5505,-0.4535,0.79
0.721020,-0.5049,-0.3039,-0.5117,0.78
0.732429,-0.5670,-0.0666,-0.5086,0.76
0.740092,-0.5318,0.1288,-0.4636,0.72
0.747502,-0.4675,0.3394,-0.3401,0.67
0.757362,-0.3711,0.4899,-0.1926,0.64
0.768041,-0.2067,0.5438,-0.0507,0.58
0.782998,0.0187,0.5029,0.1412,0.52
0.790801,0.2428,0.3642,0.3247,0.55
0.798382,0.4186,0.1526,0.4583,0.64
0.807814,0.4957,-0.0458,0.4600,0.68
0.819378,0.4480,-0.1939,0.3949,0.63
0.832527,0.3723,-0.2832,0.3258,0.57
0.839624,0.2744,-0.3241,0.2476,0.49
0.848156,0.1583,-0.3367,0.1287,0.39
0.857740,0.0828,-0.3165,0.0359,0.33
0.868614,0.0003,-0.2730,0.0907,0.29
0.882757,-0.0796,-0.2060,0.1607,0.27
0.892268,-0.1570,-0.1490,0.1910,0.29
0.900887,-0.2317,-0.1162,0.1997,0.33
0.908352,-0.3042,-0.1387,0.2305,0.41
0.918813,-0.3313,-0.1937,0.3183,0.50
0.931986,-0.3526,-0.2286,0.3365,0.54
0.939001,-0.3217,-0.2109,0.2649,0.47
0.948005,-0.2542,-0.1556,0.1600,0.34
0.959394,-0.1605,-0.0918,0.0672,0.20
0.973018,-0.0652,-0.0383,0.0021,0.08
0.980403,0.0458,-0.0281,0.0313,0.06
0.989848,0.1675,-0.0463,0.0959,0.20
0.998016,0.2572,-0.0781,0.1430,0.30
1.010287,0.3389,-0.1188,0.1436,0.39
1.024464,0.3802,-0.1444,0.1723,0.44
1.033300,0.3826,-0.1836,0.1991,0.47
1.044064,0.3611,-0.2031,0.1948,0.46
1.052132,0.3819,-0.1986,0.1690,0.46
1.058853,0.3551,-0.1798,0.1687,0.43
1.070367,0.3285,-0.1235,0.1333,0.38
1.083000,0.2931,-0.0588,0.0974,0.31
1.088239,0.2682,0.0189,0.0629,0.28
