# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-28 14:34:14.438
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005071,-0.1429,-0.0458,0.1143,0.19
0.011832,-0.1035,-0.0678,0.1591,0.20
0.024445,-0.0453,-0.0758,0.1395,0.17
0.032650,0.0073,-0.0746,0.0844,0.11
0.042057,0.0205,-0.0592,0.0195,0.07
0.054228,0.0186,-0.0439,-0.0528,0.07
0.061449,0.0066,-0.0475,-0.0918,0.10
0.077350,-0.0010,-0.0649,-0.0953,0.12
0.083359,-0.0085,-0.0772,-0.0485,0.09
0.091996,-0.0204,-0.1033,-0.0129,0.11
0.104167,-0.0129,-0.1006,-0.0311,0.11
0.114581,0.0043,-0.0746,-0.0040,0.07
0.127486,0.0500,-0.0256,0.0469,0.07
0.135087,0.0907,-0.0012,0.0960,0.13
0.143391,0.1172,-0.0105,0.1137,0.16
0.151791,0.1295,-0.0292,0.0999,0.17
0.161218,0.1277,-0.0527,0.0700,0.15
0.173808,0.1308,-0.0758,0.0587,0.16
0.181898,0.1294,-0.0797,0.0245,0.15
0.195037,0.1134,-0.1163,0.0249,0.16
0.207096,0.1017,-0.1520,0.0460,0.19
0.215271,0.0940,-0.1773,0.0915,0.22
0.224537,0.0812,-0.1831,0.1090,0.23
0.232360,0.0635,-0.1509,0.0707,0.18
0.244328,0.0413,-0.0956,0.0053,0.10
0.255518,0.0337,-0.0648,-0.0447,0.09
0.265781,0.0405,-0.0346,-0.0561,0.08
0.275548,0.0843,-0.0283,-0.0392,0.10
0.284023,0.1639,-0.0357,-0.0268,0.17
0.292246,0.2874,-0.0423,-0.0135,0.29
0.303777,0.3975,-0.0385,0.0062,0.40
0.315209,0.4372,-0.0101,0.0097,0.44
0.327228,0.4640,0.0755,0.0174,0.47
0.335790,0.5515,0.1268,0.0339,0.57
0.348666,0.6430,0.0311,0.0626,0.65
0.357794,0.6863,-0.0868,0.1480,0.71
0.365590,0.6541,-0.2030,0.1604,0.70
0.373161,0.6177,-0.3079,0.1150,0.70
0.381652,0.6104,-0.3689,0.1111,0.72
0.393169,0.6273,-0.4245,0.0966,0.76
0.406081,0.6452,-0.4561,0.0722,0.79
0.415936,0.6500,-0.4642,0.0523,0.80
0.425613,0.6466,-0.4915,0.0507,0.81
0.437086,0.6634,-0.4765,0.1268,0.83
0.444601,0.6621,-0.4292,0.1797,0.81
0.453119,0.6670,-0.3503,0.1866,0.78
0.468197,0.5883,-0.2262,0.2331,0.67
0.471830,0.4977,-0.1044,0.2300,0.56
0.481628,0.3761,-0.0084,0.2363,0.44
0.493669,0.2845,0.0438,0.2533,0.38
0.505391,0.2123,0.0767,0.2779,0.36
0.514108,0.2059,0.0813,0.2267,0.32
0.522098,0.2171,0.1005,0.1530,0.28
0.532517,0.3025,0.1386,0.0435,0.34
0.544139,0.3345,0.1526,0.0101,0.37
0.555285,0.5539,0.0723,-0.1377,0.58
0.565152,0.3640,0.1112,-0.0617,0.39
0.573968,0.2578,-0.0109,-0.0361,0.26
0.585273,0.4025,-0.1026,-0.2488,0.48
0.593387,0.3760,-0.0566,-0.2771,0.47
0.606718,0.2162,-0.1018,-0.3021,0.39
0.614290,0.2400,-0.1329,-0.3748,0.46
0.622108,0.2455,-0.1119,-0.3947,0.48
0.632232,0.1907,-0.0210,-0.3526,0.40
